candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
blocks_4,block_permute,temporal,4.0,selection,0.025897039171262626,0.03855535599570624,0.2595146272127771,0.06243932748173758,0.13848759448519787,0.1671866724445086,0.13234094582294648,0.008057951744044821,0.06561453409301553,-0.013571914358268137,-1.1515529065937928
blocks_4,block_permute,temporal,4.0,test,0.022787876513224753,0.03381397343022406,0.24929749966416856,0.06053945763362568,0.16168804579818122,0.15177161227717342,0.10261264985130011,0.0011370995317725755,0.15237165245460677,-0.04969913236023619,-1.1717753676146472
blocks_8,block_permute,temporal,8.0,selection,0.03550191435990664,0.05148454879937601,0.25942427702576915,0.04146986735247793,0.16150435605999158,0.07577387896902558,0.23491166160414514,-0.01445473421970746,0.19753122845452176,-0.03827725589616073,-1.0823156291517706
blocks_8,block_permute,temporal,8.0,test,0.034410645638800065,0.0483695354515241,0.25453090801894246,0.035155301089914485,0.166463869958125,0.07458097682566843,0.24441729671022566,0.028738666538953555,0.2795803314503117,0.007578731336226781,-1.0790493835074482
blocks_16,block_permute,temporal,16.0,selection,0.02103856883655724,0.026690874445058223,0.23920413219601877,0.04042656659230277,0.1620183521158403,0.07508246387922829,0.047549195389704896,-0.02840824680907279,0.13020942742254119,-0.012399429785570591,-1.1848217363386417
blocks_16,block_permute,temporal,16.0,test,0.022082794807658377,0.029159650982726264,0.23529599482282482,0.03513702923107218,0.14485129758424498,0.05941858613243851,0.041953290734571706,-0.016531735022012464,0.16328334662808194,-0.025092794333007817,-1.1887169355090266
time_mean_0.2,time_mean_mix,temporal,0.2,selection,0.1809865300637023,0.2891617523120861,0.4582260401453533,0.09068423576381685,0.47273148177889696,0.5510938269684478,0.6940187029146696,0.4506011229760826,0.4615488583864891,0.40357957074271233,-0.7363823566397005
time_mean_0.2,time_mean_mix,temporal,0.2,test,0.1861573211854315,0.29701795003849174,0.46105667099651776,0.08565028102288741,0.493756604319527,0.5836546331996281,0.7077323638803561,0.46608456442571783,0.5313919946290968,0.3801710205663479,-0.7337714695496691
time_mean_0.4,time_mean_mix,temporal,0.4,selection,0.17775979747798315,0.28575313274067254,0.44207729177608157,0.09068423588427389,0.47615945751294547,0.5424442493805487,0.6756723063671826,0.4275398577995531,0.45085811662628245,0.388679678206171,-0.7635550537530031
time_mean_0.4,time_mean_mix,temporal,0.4,test,0.1827444814294315,0.2930851402983186,0.44324154862419285,0.08565028202597873,0.4938213447533336,0.5753137997829604,0.684074468820252,0.4427479200819116,0.5189166605943165,0.3567984555299239,-0.7673698384672405
time_mean_0.6,time_mean_mix,temporal,0.6,selection,0.1676773842211772,0.27207942652383255,0.3967334649755861,0.09068423544641414,0.44875482945942075,0.5237244117527232,0.6289053577781165,0.38237583609148645,0.42639991461963705,0.3531747429695691,-0.80777310779877
time_mean_0.6,time_mean_mix,temporal,0.6,test,0.17219195299362233,0.2783833793412983,0.39656635581507177,0.0856502803866103,0.4547850519792965,0.5521087271340052,0.6289357436527969,0.3911829548531329,0.49258543056338566,0.3125491574542674,-0.8174414628964303
time_mean_0.8,time_mean_mix,temporal,0.8,selection,0.1418985200581532,0.23222401960100092,0.33752561030041617,0.09068423444543676,0.3864779753440492,0.489249658329537,0.5320127204900447,0.27891799129635203,0.342908338031146,0.26333546133258984,-0.8664279487951153
time_mean_0.8,time_mean_mix,temporal,0.8,test,0.14519882334161882,0.23648177667659065,0.33543157641118954,0.08565028242576622,0.38111085870337813,0.5125339170435227,0.5179062646112285,0.27472600595138313,0.4088262297003482,0.21165072042399238,-0.8811778902182351
time_mean_1.0,time_mean_mix,temporal,1.0,selection,0.0894344193327758,0.141569492989921,0.29336293121433527,0.0,0.3058074015089353,0.0,0.37310269487974657,-0.06066234970282693,0.03797178626418225,-0.007300791235192845,-0.9368092060638039
time_mean_1.0,time_mean_mix,temporal,1.0,test,0.09004260458594449,0.14214275522947126,0.2902266693494664,0.0,0.294250916081629,0.0,0.3382063908666651,-0.049050531815917654,0.12142046187142544,-0.03773847043301214,-0.955845127882585
noise_0.1,amplitude_noise,non_temporal,0.1,selection,0.18047308555402009,0.2882886673315125,0.45403869476932524,0.09131853677984528,0.45164530070567194,0.5532037022633585,0.6986731545317302,0.46380024122679625,0.4670043125943511,0.4114612339687468,-0.7277521068340904
noise_0.1,amplitude_noise,non_temporal,0.1,test,0.18571284488067896,0.29655248295950837,0.4592799475225373,0.08593986356535391,0.4707982628596318,0.585101612240136,0.7158988163192628,0.479105933898184,0.5385718364914117,0.39437585947221976,-0.7187261254880827
noise_0.2,amplitude_noise,non_temporal,0.2,selection,0.17818776328819452,0.28728602238883516,0.4550464093302449,0.09144553775593511,0.451446737913664,0.552742215654248,0.6977578800459394,0.463606790743037,0.4650970666208073,0.40829955747723545,-0.7276651804736368
noise_0.2,amplitude_noise,non_temporal,0.2,test,0.18327107081799277,0.2957519364922842,0.46050285145091197,0.0859806084363532,0.4712820839848918,0.5867462971810797,0.7145442554981405,0.477919297922995,0.5378607493537271,0.3917570706988304,-0.7189151968104583
noise_0.5,amplitude_noise,non_temporal,0.5,selection,0.16633233316014148,0.2823031766188364,0.45874106901313816,0.07934074286861584,0.4474553621081744,0.5534916313884969,0.6878356180205205,0.4571797384262551,0.4655164047468191,0.40236047335861974,-0.7318209825839562
noise_0.5,amplitude_noise,non_temporal,0.5,test,0.16985196098471458,0.2895898015641425,0.46307921369305466,0.07245346783913073,0.4685965318699967,0.5862330322188765,0.7045274321481423,0.4781734657533103,0.5380120290904393,0.3895159797235599,-0.7212301822781816
noise_0.75,amplitude_noise,non_temporal,0.75,selection,0.15205144851219032,0.2742486281123982,0.460894325849848,0.06422019399874881,0.44597667372020944,0.5482912773104885,0.6738404139350227,0.462306922712206,0.4563396902580604,0.4110628418986034,-0.7409806174337942
noise_0.75,amplitude_noise,non_temporal,0.75,test,0.15387014668779508,0.281210936728822,0.4661659822981745,0.05911159435139115,0.47180015834736805,0.5845692359544735,0.6862766050768008,0.45305898442758924,0.5313876456442436,0.36456280131150504,-0.7328788181907273
noise_1.0,amplitude_noise,non_temporal,1.0,selection,0.1376571526952513,0.2644789630655954,0.4622152240851633,0.05432608656996757,0.4386353503733874,0.5428114386456145,0.6499967505504441,0.4424038161051284,0.4481981023893611,0.40166956504257983,-0.7599679652393182
noise_1.0,amplitude_noise,non_temporal,1.0,test,0.13824505925756445,0.2702639121376165,0.4657735173588978,0.051015997716830595,0.46036867698611544,0.5811581610166039,0.6587157443999276,0.44420159074133986,0.5290750143421543,0.36382116353699717,-0.7535169164893445
noise_1.5,amplitude_noise,non_temporal,1.5,selection,0.11166210376192215,0.2423523589163314,0.46000871093982026,0.046395708889032064,0.4273106310426744,0.5195312540509709,0.5842810910891921,0.4257217192658116,0.4443684839014328,0.3795177225675976,-0.8182178325185235
noise_1.5,amplitude_noise,non_temporal,1.5,test,0.11042429775796109,0.24552803317921335,0.46278589236507156,0.04202441992109417,0.44603152626375353,0.5637130042185653,0.5864504029980098,0.42387479226232294,0.5164685963671698,0.3453718450221671,-0.8138053542521255
noise_2.0,amplitude_noise,non_temporal,2.0,selection,0.09169035824641943,0.21620005156221636,0.4522090895384894,0.04259559003712906,0.4004303405142043,0.48916180550154253,0.49107563671597,0.40679315450677916,0.4304143580785289,0.3567144966542333,-0.9020708261388535
noise_2.0,amplitude_noise,non_temporal,2.0,test,0.08913730694055559,0.21865133709339313,0.45346569469817444,0.03889405472099759,0.4306193229612013,0.5734741497127746,0.48463724794020013,0.42327511975326604,0.4830815694787045,0.3524008973362929,-0.900148794326531
noise_3.0,amplitude_noise,non_temporal,3.0,selection,0.06512058574007092,0.17401823107696116,0.40880949037359066,0.03959992984201675,0.295159947568926,0.41829116619814294,0.24356351760745637,0.36433263872632154,0.3849868657244893,0.3235965754404878,-1.108999125212604
noise_3.0,amplitude_noise,non_temporal,3.0,test,0.062206938959464955,0.16953427177611186,0.41232559631622634,0.03518560311357842,0.3356227758286503,0.5048213128294018,0.22693539361714013,0.35539904467838457,0.45768280812907625,0.28390118810649373,-1.1143120551188281
